constructor_id,constructor_url,constructor_name,constructor_nationality,new_id
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,watson
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American,adams
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German,afm
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,alfa
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,alpine
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British,alta
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander,amon
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian,moda
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,eagle-climax
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,eagle-climax
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss,apollon
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,arrows
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian,arzani-volpini
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British,butterworth
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,aston_martin
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian,ats
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French,ags
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian,behra-porsche
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss,bellasi
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,benetton
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German,bmw
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,bmw
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch,boro
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British,brabham
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British,brabham
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,brabham
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,brabham
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,brabham
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,brabham
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British,brawn
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,bar
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British,brp
brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British,brm
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,brm
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American,bromme
bugatti,http://en.wikipedia.org/wiki/Bugatti,Bugatti,French,bugatti
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian,caterham
vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),Christensen,American,vhristensen
cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian,cisitalia
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,connaught
connew,http://en.wikipedia.org/wiki/Connew,Connew,British,connew
cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British,cooper
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,cooper
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British,cooper
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British,cooper
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British,cooper
cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British,cooper
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,cooper
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British,cooper
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,cooper
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British,cooper
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British,cooper
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian,dallara
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian,tomaso
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian,tomaso
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian,tomaso
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian,tomaso
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American,deidt
del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American,del_roy
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British,derrington
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American,dunn
enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,ENB,Belgian,enb
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German,emw
elder,http://en.wikipedia.org/wiki/Elder_(constructor),Elder,American,elder
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British,emeryson
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British,era
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,ensign
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian,coloni
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American,epperly
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian,eurobrun
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American,ewing
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British,ferguson
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,fittipaldi
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian,fondmetal
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British,footwork
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian,forti
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British,politoys
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British,frazer_nash
fry,http://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British,fry
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,gilby
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,gordini
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,haas
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American,hall
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,hwm
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,hesketh
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British,hill
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish,hrt
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,honda
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,iso_marlboro
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,jaguar
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British,jbw
